medicamento,substancia_correta,llm_response
LORazepam 2mg Cp (Med. Controlado) ,LORAZEPAM,Lorazepam
SORO GLICOSADO 5% 500 ML,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose
CLOR. DE CEFEPIMA 1G PO LIOFILIZADO FA,CEFEPIMA,Cefepima
"Ecofilm 0,5% 5mg/mL Sol oftálmica 15mL (Não Padrão)",CARMELOSE SODICA(CARBOXIMETILCELULOSE SODICA) (OFTÁLMICO),Ecabet
"DEXAmetasona 0,1% CREME 10G BSN",DEXAmetasona (tópico),Dexametasona
CloNAZepam 2mg Cp,CLONAZEPAM,Clonazepam
LEXAPRO 10MG 60 CP REV C1,ESCitalopram,Escitalopram
CLORIDRATO DE DULOXETINA 30 MG,Duloxetina,Duloxetina
TARTARATO DE METOPROLOL 1MG/ML 5ML (5MG) - SOLUÇÃO INJETÁVEL - AMPOLA,METOPROLOL TARTARATO,Metoprolol
SIROLIMUS 2MG - DRAGEA,SIROLIMO,Sirolimus
"LEUPRORRELINA 3,75MG/ML",LEUPRORRELINA,Leuprorrelina
Glicose 10% Bolsa 1000ml - Beker,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose
MPP:  LEVODOPA 100 MG + BENSERAZIDA 25 MG,LEVODOPA + BENSERAZIDA,Levodopa + Benserazida
DONEPEZILA 10 MG (NP),DONEPEZILA,Donepezila
Fauldfluor 2500mg (50mg/ml) Frasco-ampola 50ml,FLUOROURACILA,Fluorouracil
DUPIXENT 300MG 2 S PX2ML150MG/ML GELAD,DUPILUMABE,Dupilumabe
Placebo/Bemarituzumab 20mg/mL Sol inj 20mL (Pesquisa Clínica),BEMARITUZUMAB,Bemarituzumab
Topiramato 25mg Cp.,TOPIRAMATO,Topiramato
Enzyfor (Lactase) sachê ,LACTASE,Lactase
PERMANGANATO DE POTASSIO - COMPRESSAS SOLUCAO 1:10000,PERMANGANATO DE POTASSIO (TOPICO),Permanganato de Potássio
Oleo mineral Fr. 100mL,OLEO MINERAL,Óleo Mineral
"Alfast 0,544mg/ml Amp/5ml Inj.",ALfentanila,Alprostadil
ENOXAparina 40MG (ALTA VIGILÂNCIA),ENOXAPARINA SODICA,Enoxaparina
ARIPIPRAZOL 15 mg,ARIPIPRAZOL,Aripiprazol
CLINDAMICINA 600MG SOL. INJ.,CLINDAMICINA,Clindamicina
Ondansetrona 8 mg/4 mL amp,ONDANSETRONA,Ondansetrona
"CLORETO DE POTASSIO 19,1% EV BI - (MEDICAMENTO DE RISCO)",CLORETO DE POTASSIO,Cloreto de Potássio
"SORO FISIOLOGICO 0,9% 50ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
Dimorf 10mg Cp.,SULFATO DE MORFINA,Morfina
FITOMENADIONA 10 MG/ML SOLUCAO INJETAVEL AMPOLA 1 ML,FITOMENADIONA (VITAMINA K),Fitomenadiona
IMATINIBE 400MG CP,IMATINIBE,Imatinibe
Celestone Soluspan Ampola 1ml,ACETATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA,Betametasona
"HEPARINA  SODICA  SUB CUTANEA  0,25 ML 5000 UI AMP",Heparina,Heparina Sódica
Lasix Amp. 20 Mg/2 Ml ( Furosemida ),FUROSEMIDA,Furosemida
POLIMIXINA B 500.000UI,POLIMIXINA B SULFATO,Polimixina B
FLUNARIZINA 10MG COMP,FLUNARIZINA,Flunarizina
"ESCOPOLAMINA 6,67MG/ML+ DIPIRONA 333,4MG SOL.ORAL - FR 20ML",ESCOPOLAMINA + DIPIRONA,"Escopolamina, Dipirona"
N-ACETILCISTEINA 600MG D ENV,ACETILCISTEINA,N-Acetilcisteína
Pamidronato 90 mg inj.,PAMIDRONATO (ACIDO PAMIDRONICO),Pamidronato
FERRO III 500MG 50MG/ML 10ML SOL.INJ FERRINJECT,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO),Ferro III
POLIMIXINA B 500.000UI (UTI - 3 FRASCOS AMPOLA/DOSE),POLIMIXINA B SULFATO,Polimixina B
Vancomicina 50mg/ml Colírio Fortificado Frasco 5ml - Manipulado,VANCOMICINA (OFTÁLMICO),Vancomicina
Brometo de N-butilescopolamina + Dipirona  amp 5 ml,ESCOPOLAMINA + DIPIRONA,"Brometo de N-butilescopolamina, Dipirona"
"DOBUTAMINA 12,5MG/ML - AMP 20ML",Dobutamina,Dobutamina
MC: EDISTRIDE 10 ,DAPAGLIFLOZINA,Empagliflozina
Cefuroxima Axetil 500mg cp,AXETILCEFUROXIMA,Cefuroxima Axetil
NICOTINA 21MG ADESIVO,NICOTINA (TRANSDERMICO),Nicotina
Diclofenaco sódico 25mg/mL inj. ampola c/ 3mL,DICLOFENACO SODICO,Diclofenaco sódico
"DOBUTAMINA 250MG/20ML INJ + SF 0,9% 250ML",Dobutamina,Dobutamina
BROMOPRIDA 10MG/2ML AMP 2ML,BROMOPRIDA,Bromoprida
"DEXAMETASONA 0,1% CREME BISNAGA 10G",DEXAmetasona (tópico),Dexametasona
Biotina 10mg/mL Sol oral 30mL (Não Padrão),BIOTINA (VITAMINA B7),Biotina
CAPTOPRIL 25 MG COMPRIMIDO,CAPTOPRIL,Captopril
Cetoprofeno 50mg caps,CETOPROFENO,Cetoprofeno
"Acetato de Fludrocortisona 0,1mg cp",FLUDROCORTISONA,Fludrocortisona
MISOPROSTOL 25MCG - COMPRIMIDO VAGINAL,Misoprostol,Misoprostol
MICAFUNGINA 100MG,MICAFUNGINA,Micafungina
DIAZEPAM 10MG - COMP,DIAZEPAM,Diazepam
Racecadotrila 30mg Sache,RACECADOTRILA,Racecadotrila
FLUCONAZOL 200 MG FR 100 ML,FLUCONAZOL,Fluconazol
Vaselina Pomada 20g,VASELINA,Vaselina
MC: BACTRIM 40080MG ,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol e Trimetoprima
LEVEMIR FlexPen 100 UI/mL Sol inj 3mL (caneta) (Alta Vigilância),INSULINA DETEMIR,Insulina detemir
SACARATO OXIDO FERRICO (100MG Ferro elementar)  AMP 5ML 20 mg/mL,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO),Sacarato de óxido férrico
Nitrofurantoína 100mg Cp,NITROFURANTOINA,Nitrofurantoína
PYLORIPAC 14 BLISTER,CLARITROMICINA + AMOXICILINA + LANSOPRAZOL,"Clarithromycin, Amoxicilina, Lansoprazol"
Combiron Gotas Fr. 30mL,GLICINATO FERRICO + CIANOCOBALAMINA (VITAMINA B12) + DEXPANTENOL (VITAMINA B5) + NICOTINAMIDA + NITRATO DE TIAMINA (VITAMINA B1) + RIBOFLAVINA (VITAMINA B2),Ferro + Ácido Fólico
"MOXifloxacino, CLORIDRATO DE 400MG/250ML - EV",MOXIFLOXACINO,Moxifloxacino
"CLONAZEPAM 2,5 MG/ML FR (RIVOTRIL)",CLONAZEPAM,Clonazepam
"Deltametrina 0,2mg/mL -100mL Loção",DELTAMETRINA (TOPICO),Deltametrina
Resolor 1mg Comp. Revestido,PRUCALOPRIDA,Prucaloprida
CETAMINA (dextrogira)/ESCETAMINA EV/IM AMP 10ML 50 mg/mL,CETAMINA,Cetamina
TIOSSULFATO DE SODIO SOLUCAO INJETAVEL 250MG/ML (25%) 10ML ,TIOSSULFATO DE SODIO,Tiossulfato de Sódio
"DEXAMETASONA 4MG/ML 2,5ML AMP EUROFARMA             ",DEXAMETASONA,Dexametasona
Cranberry 500mg Cap (Não Padrão),CRANBERRY (CRANBERRIES),Cranberry
Fenitoina 20mg/mL 60mL FR gotas (manipulado),FENITOINA,Fenitoína
MORFINA 30 MG COMPRIMIDO *NP,SULFATO DE MORFINA,Morfina
CARBONATO DE LÍTIO 300 MG COMP,CARBONATO DE LITIO,Carbonato de Lítio
METOPROLOL SUCCINATO 50 MG CMP,METOPROLOL SUCCINATO,Metoprolol
HIDRATACAO S.G. 5% 250ML+NACL10%+KCL10%+GLUC.CA10%+GLIC.50%,CLORETO DE POTASSIO + CLORETO DE MAGNESIO + CLORETO SODIO + GLICONATO DE SODIO + ACETATO DE SODIO,"Soro glicosado, cloreto de sódio, cloreto de potássio, gluconato de cálcio, glicerol"
DEXTROCETAMINA 50MG/ML SOL INJ EV 2ML,DEXTROCETAMINA (ESCETAMINA),Dextrocetamina
VARFARINA SÓDICA 5MG CP,VARFARINA SODICA,Varfarina Sódica
CEFEPIMA 1G/10ML FA (MAXCEF) (INFANTIL)ENDOVENOSO,CEFEPIMA,Cefepima
Doxazosina 2 mg cpr,DOXAZOSINA,Doxazosina
IMAtinibe 400 mg cap (QT),IMATINIBE,Imatinibe
Omnaris 50mcg/dose Susp nasal spray (120 doses) (Não Padrão),CICLESONIDA,Ciclesonida
MIDAZOLAM SOLUCAO INJETAVEL 5MG/ML 3ML @,MIDAZOLAM,Midazolam
MEROPENEM 1G - Infantil,MEROPENEM,Meropenem
"AFLIBERCEPTE 40MG/ML 0,05 ML INTRAVITRIA",AFLIBERCEPTE,Aflibercepte
Ácido Tranexâmico 250mg Comprimido  - Ems,ACIDO TRANEXAMICO,Ácido Tranexâmico
SOLUCAO PURA DE PROPOFOL (10MG/ML) - MPP,PROPOFOL,Propofol
Vitamina do complexo B - Drageas,VITAMINAS DO COMPLEXO B,Complexo de Vitaminas B
Adiloz 600mg Cpr Rev,LINEZOLIDA,Ibuprofeno
ACEBROFILINA 50MG/5ML SOLUÇÃO ORAL,AMBROXOL (ACEBROFILINA),Acebrofilina
Amoxicilina 250mg/5ml Susp. Oral Frasco C/ 150ml *,AMOXICILINA,Amoxicilina
OLEO DE GIRASSOL 2% - 50GR - NP,OLEO DE GIRASSOL (TOPICO),Óleo de Girassol
UTROGESTAN (PROGESTERONA) 200MG COMP,PROGESTERONA,Progesterona
MEDICAMENTO NAO CADASTRADO  ,MEDICAMENTO NAO CADASTRADO,"Não é possível identificar a substância ativa, pois o medicamento não está cadastrado."
ANFORTERICINA B 50MG - PÓ PARA SOLUÇÃO INJETÁVEL - VIA ENDOVENOSA - FRASCO AMPOLA,ANFOTERICINA B DESOXICOLATO (NORMAL),Anfotericina B
SORO RINGER LACTATO C/ 500ML (SOROTERAPIA),(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO,Lactato de Ringer
"Isossorbida, dinitrato 10mg cp.",ISOSSORBIDA,Dinitrato de isossorbida
DISFOSTATO DE CLOROQUINA 150MG COMP,CLOROQUINA,Cloroquina
(Do paciente ) Espironolactona 100 mg cap,ESPIRONOLACTONA,Espironolactona
SUPOSITORIO DE GLICERINA ADULTO,GLICERINA (RETAL),Glicerina
"Gyno Iruxol 0,6 UI/g + 10 mg/g Pomada Ginecológica Bisnaga 30g",COLAGENASE+CLORANFENICOL (TOPICO),Colagenase + Cloranfenicol
DULoxetina 30mg/ml - Frasco 30ml - Manipulado,Duloxetina,Duloxetina
VALIUM 10MG 30 CP B1,DIAZEPAM,Diazepam
"Guaco herbarium 0,5mL/5mL Xpe 120mL (Não Padrão)",MIKANIA GLOMERATA,Extrato de Guaco
ALBUMINA HUMANA 20% 50ML IV,ALBUMINA HUMANA,Albumina Humana
GANciclovir 500 mg fr/amp,GANCICLOVIR,Ganciclovir
Lenvima 4mg Cápsula Dura,LENVATINIBE,Lenvatinibe
DimeniDRINATO IM 50MG+ VIT B6 50MG AMP 1ML  ,DIMENIDRINATO + PIRIDOXINA(B6),Dimenidrinato
TRAStuzumabe 440MG SOL. INJ,TRASTUZUMABE,Trastuzumabe
AMPICILINA PO PREPARACAO EXTEMPORANEA 50MG/ML 60ML,AMPICILINA,Ampicilina
"MitoMIcina 0,03% Frasco-ampola",MITOMICINA,Mitomicina
LORazepam 1mg Cap (Med. Controlado) (Não Padrão),LORAZEPAM,Lorazepam
Cardizem SR 90mg Cápsula de Liberação Prolongada,DILTIAZEM,Diltiazem
"FOSFATO TRIBASICO DE CALCIO 12,9% 100ML ",FOSFATO DE CALCIO TRIBASICO + COLECALCIFEROL,Fosfato Tribásico de Cálcio
TIGECICLINA 50MG/5ML PO LIOFILIZADO FR AMP,TIGECICLINA,Tigeciclina
CLOR.METFORMINA 500MG 30CP PRATI GEN,METFORMINA,Metformina
CETAMINA SOL INJ 500MG/10ML,CETAMINA,Cetamina
AMPICILINA CAPSULA 500 mg,AMPICILINA,Ampicilina
"FENTANILA 0,5 MG - AMPOLA 10ML SEM CONSERVANTE",FENTANILA,Fentanila
Fitoscar 60mg/g Pomada Bisn. 50g,STRYPHNODENDRON ADSTRINGENS,Centella asiatica
ALPROSTADIL 20 MCG/ML 1ML AMP,ALPROSTADIL (PROSTAGLANDINA E1),Alprostadil
CEFAZOLINA 1G FR AMP - UTIN,CeFAZolina,Cefazolina
MONOCORDIL 40MG CP,ISOSSORBIDA,Mononitrato de Isossorbida
"Candesartana Cilexetila 16mg + hidroCLOROTiazida 12,5mg Comprimido",CANDESARTANA + HIDROCLOROTIAZIDA,"Candesartana Cilexetila, Hidroclorotiazida"
LOSARTANA 50 MG COMPRIMIDO,LOSARTANA,Losartana
Fosfato Dissodico de Dexametasona 2mg/ml 1ml,DEXAMETASONA,Dexametasona
CLORIDRATO DE PROMETAZINA COMP C/25MG,PROMETAZINA,Prometazina
SOLUCAO HEPARINA (50UI/mL) - 100mL  ALTA VIGILANCIA,Heparina,Heparina
Coltrax 4mg/2ml  amp 2 ml,TIOCOLCHICOSIDEO,Tiocolchicosídeo
BROMAZEPAM 3MG CP,BROMAZEPAM,Bromazepam
Hidantal 100mg Comprimido,FENITOINA,Fenitoína
AGUA BIDESTILADA AMP 10 ML,AGUA DESTILADA,Água bidestilada
METOPROLOL (TARTARATO) 10MG/ML 30 ML FR,METOPROLOL TARTARATO,Metoprolol
MPP:  TEGRETOL 200MG (CARBAMAZEPINA),CARBAMAZEPINA,Carbamazepina
Solução Fosfato Para Preparo Intestinal Frasco 45ml - Manipulado,FOSFATO DE SODIO,Fosfato de sódio
Morfina Sulfato 10mg Injetavel - Ampola Com 1ml,SULFATO DE MORFINA,Morfina
Albendazol 400mg comprimido,ALBENDAZOL,Albendazol
AnLODIPina 5mg cp,ANLODIPINO,Anlodipina
MEDICAMENTO DO PACIENTE,MEDICAMENTO DO PACIENTE,"Desculpe, mas você não forneceu o nome de um medicamento específico. Por favor, forneça o nome de um medicamento para que eu possa identificar a substância ativa mais provável."
"EXElon Patch 15cm (13,3mg/24h) Adesivo (Med. Controlado)",RIVASTIGMINA,Rivastigmina
EMULSAO AGAR-AGAR 50ML,AGAR-AGAR,Agar-Agar
BROM. DE ROCURONIO 10MG/ML SOL. INJETAVEL FA 10ML,ROCURONIO,Rocurônio
Norvasc 5mg Cp (Não Padrão),ANLODIPINO,Amlodipina
Deflazacorte 6mg Cp,DEFLAZACORTE,Deflazacorte
ARIPIPRAZOL COMPRIMIDO 10MG @,ARIPIPRAZOL,Aripiprazol
LEVOTIROXINA SODICA 50MCG/1ML SUSPENSAO,LevoTIROXina,Levotiroxina Sódica
"IODOPOVIDONA 2,5% COLÍRIO 5ML 25 MG/ML FR",IODOPOVIDONA (OFTALMICO),Iodopovidona
HIDROXIZINA CLORIDRATO 2MG/ML 120ML XAROPE,HIDROXIZINA,Hidroxizina
"TERLIPRESSINA  5 ML ,2 MG/ML FRA",TERLIPRESSINA,Terlipressina
BUDESONIDA  50MCG AEROSOL ORAL,BUDESONIDA,Budesonida
"FLUMAZENIL 0,1 MG/ML 5 ML (0,5 MG) - AMP",FLUMAZENIL,Flumazenil
Valsartan potássico 160mg cp. (NÃO PADRONIZADO),VALSARTANA,Valsartan
(Do paciente) Mesalazina 500 mg supositório,MESALAZINA,Mesalazina
Venlafaxina 150mg  Cápsula De Liberação Prolongada,VENLAFAXINA ,Venlafaxina
"PIPERACILINA+TAZOBACTAM 4G+0,5G SOL.INJ",PIPERACILINA + TAZOBACTAM,Piperacilina Tazobactam
CLORETO DE POTASSIO 10% 10ML,CLORETO DE POTASSIO,Cloreto de Potássio
Ferinject 50mg/ml Ampola 10ml Inj.,CARBOXIMALTOSE FERRICA,Ferricarboximaltose
