medicamento,substancia_correta,llm_response,acertou
ERITROMICINA 1G ,ERITROMICINA,Eritromicina,1
ALBENDAZOL SUSP ORAL (10ML) 40 mg/mL,ALBENDAZOL,Albendazol,1
QUEtiapina 25MG CPREV,QUEtiapina,Quetiapina,1
Azul de Metileno 2% (20mg/ml) Ampola 5ml - Manipulado,AZUL DE METILENO (CLORETO DE METILTIONINIO),Azul de Metileno,1
Fenitoina Sodica 50mg/ml Amp 5ml,FENITOINA,Fenitoína,1
EPINEFrina 1mg/mL - 1mL,ADRENALINA (EPINEFRINA),Epinefrina,1
METOCLOPRAMIDA INJETAVEL - 2 ML 5 MG/ML AMP,METOCLOPRAMIDA,Metoclopramida,1
DIPROPIONATO DE BECLOMETASONA 200MCG 200 DOSES FR10ML (NP),beclometasona,Dipropionato de Beclometasona,1
ALOPURINOL 300MG COMP,AloPURinol,Alopurinol,1
Divelol Comprimido 25mg,CarVEDilol,Carvedilol,1
IOXITALAMATO DE MEGLUBINA 300MG FR.50ML (TELEBRIX MEGLUBINA),IOXITALAMATO DE MEGLUMINA,Ioxitalamato de Meglubina,1
PIRIMETAMINA 25MG CP,PIRIMETAMINA,Pirimetamina,1
HIDRALAZINA 50 MG DRAGEA,HidrALAZINA,Hidralazina,1
RHODIOLA ROSEA 400 mg,RHODIOLA ROSEA,Rhodiola Rosea,1
CETOPROFENO 100MG IV - FR AMP,CETOPROFENO,Cetoprofeno,1
SulfADIAZINA DE PRATA 10MG/G CREME TUBO 50G,SULFADIAZINA DE PRATA (TÓPICO),Sulfadiazina de Prata,1
Doxopeg  20 mg/10 mL fr amp (QT),DOXORRUBICINA  CLORIDRATO,Doxorrubicina,1
BuPROPiona 150mg,BuPROPiona,Bupropiona,1
PROGRAF 5MG COMP - TACROLIMUS (NP),TACROLIMO,Tacrolimus,1
OMEPRAZOL 20MG,OMEPRAZOL,Omeprazol,1
"DUTAM 0,5MG + 0,4MG (NP)",TANSULOSINA + DUTASTERIDA,Dutasterida + Tansulosina,1
CEFALEXINA SUSP. ORAL 50 MG/ML FR,Cefalexina,Cefalexina,1
"Clorexidina Gluconato 0,12% Sol. Bucal Fr. 1000mL",CLOREXIDINA,Clorexidina Gluconato,1
NIFEDIPINA 10MG COMP,NIFEDIPINO,Nifedipina,1
Ticagrelor 90mg cp,TICAGRELOR,Ticagrelor,1
Depakene 50mg/ml Xarope Frasco 100ml - Dose,ACIDO VALPROICO (VALPROATO DE SODIO),Ácido valproico,1
MC: CILOSTAZOL 50MG ,Cilostazol,Cilostazol,1
Dexametasona 4mg Cp.,DEXAMETASONA,Dexametasona,1
CEFAZOLINA 1G (FRASCO AMPOLA) IV,CeFAZolina,Cefazolina,1
CARBAMAZEPINA 100MG/5ML P/ML SOL ORAL,CARBAMAZEPINA,Carbamazepina,1
LOPINAVIR 200 MG + RITONAVIR 50 MG 250 MG CMP,LOPINAVIR + RITONAVIR,Lopinavir + Ritonavir,1
Tramadol 100mg (Retard) ,TRAMADOL CLORIDRATO,Tramadol,1
Isordil SL 5 mg comp (RQ),ISOSSORBIDA,Isossorbida,1
NITROGLICERINA 5MG/ML 10ML INJ,NitroGLICERINA,Nitroglicerina,1
Bromoprida 4mg/ml Gotas Fr 20ml,BROMOPRIDA,Bromoprida,1
Pomada Lubrificante com Lanolina Tb. 5g,LANOLINA (TOPICO),Lanolina,1
MC: FUROSEMIDA 40MG ,FUROSEMIDA,Furosemida,1
LORazepam 2mg Cp (Med. Controlado) ,LORAZEPAM,Lorazepam,1
SORO GLICOSADO 5% 500 ML,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose,1
CLOR. DE CEFEPIMA 1G PO LIOFILIZADO FA,CEFEPIMA,Cefepima,1
"Ecofilm 0,5% 5mg/mL Sol oftálmica 15mL (Não Padrão)",CARMELOSE SODICA(CARBOXIMETILCELULOSE SODICA) (OFTÁLMICO),Ecabet,0
"DEXAmetasona 0,1% CREME 10G BSN",DEXAmetasona (tópico),Dexametasona,1
CloNAZepam 2mg Cp,CLONAZEPAM,Clonazepam,1
LEXAPRO 10MG 60 CP REV C1,ESCitalopram,Escitalopram,1
CLORIDRATO DE DULOXETINA 30 MG,Duloxetina,Duloxetina,1
TARTARATO DE METOPROLOL 1MG/ML 5ML (5MG) - SOLUÇÃO INJETÁVEL - AMPOLA,METOPROLOL TARTARATO,Metoprolol,1
SIROLIMUS 2MG - DRAGEA,SIROLIMO,Sirolimus,1
"LEUPRORRELINA 3,75MG/ML",LEUPRORRELINA,Leuprorrelina,1
Glicose 10% Bolsa 1000ml - Beker,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose,1
MPP:  LEVODOPA 100 MG + BENSERAZIDA 25 MG,LEVODOPA + BENSERAZIDA,Levodopa + Benserazida,1
DONEPEZILA 10 MG (NP),DONEPEZILA,Donepezila,1
Fauldfluor 2500mg (50mg/ml) Frasco-ampola 50ml,FLUOROURACILA,Fluorouracil,1
DUPIXENT 300MG 2 S PX2ML150MG/ML GELAD,DUPILUMABE,Dupilumabe,1
Placebo/Bemarituzumab 20mg/mL Sol inj 20mL (Pesquisa Clínica),BEMARITUZUMAB,Bemarituzumab,1
Topiramato 25mg Cp.,TOPIRAMATO,Topiramato,1
Enzyfor (Lactase) sachê ,LACTASE,Lactase,1
PERMANGANATO DE POTASSIO - COMPRESSAS SOLUCAO 1:10000,PERMANGANATO DE POTASSIO (TOPICO),Permanganato de Potássio,1
Oleo mineral Fr. 100mL,OLEO MINERAL,Óleo Mineral,1
"Alfast 0,544mg/ml Amp/5ml Inj.",ALfentanila,Alprostadil,0
ENOXAparina 40MG (ALTA VIGILÂNCIA),ENOXAPARINA SODICA,Enoxaparina,1
ARIPIPRAZOL 15 mg,ARIPIPRAZOL,Aripiprazol,1
CLINDAMICINA 600MG SOL. INJ.,CLINDAMICINA,Clindamicina,1
Ondansetrona 8 mg/4 mL amp,ONDANSETRONA,Ondansetrona,1
"CLORETO DE POTASSIO 19,1% EV BI - (MEDICAMENTO DE RISCO)",CLORETO DE POTASSIO,Cloreto de Potássio,1
"SORO FISIOLOGICO 0,9% 50ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
Dimorf 10mg Cp.,SULFATO DE MORFINA,Morfina,1
FITOMENADIONA 10 MG/ML SOLUCAO INJETAVEL AMPOLA 1 ML,FITOMENADIONA (VITAMINA K),Fitomenadiona,1
IMATINIBE 400MG CP,IMATINIBE,Imatinibe,1
Celestone Soluspan Ampola 1ml,ACETATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA,Betametasona,1
"HEPARINA  SODICA  SUB CUTANEA  0,25 ML 5000 UI AMP",Heparina,Heparina Sódica,1
Lasix Amp. 20 Mg/2 Ml ( Furosemida ),FUROSEMIDA,Furosemida,1
POLIMIXINA B 500.000UI,POLIMIXINA B SULFATO,Polimixina B,1
FLUNARIZINA 10MG COMP,FLUNARIZINA,Flunarizina,1
"ESCOPOLAMINA 6,67MG/ML+ DIPIRONA 333,4MG SOL.ORAL - FR 20ML",ESCOPOLAMINA + DIPIRONA,"Escopolamina, Dipirona",1
N-ACETILCISTEINA 600MG D ENV,ACETILCISTEINA,N-Acetilcisteína,1
Pamidronato 90 mg inj.,PAMIDRONATO (ACIDO PAMIDRONICO),Pamidronato,1
FERRO III 500MG 50MG/ML 10ML SOL.INJ FERRINJECT,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO),Ferro III,0
POLIMIXINA B 500.000UI (UTI - 3 FRASCOS AMPOLA/DOSE),POLIMIXINA B SULFATO,Polimixina B,1
Vancomicina 50mg/ml Colírio Fortificado Frasco 5ml - Manipulado,VANCOMICINA (OFTÁLMICO),Vancomicina,1
Brometo de N-butilescopolamina + Dipirona  amp 5 ml,ESCOPOLAMINA + DIPIRONA,"Brometo de N-butilescopolamina, Dipirona",1
"DOBUTAMINA 12,5MG/ML - AMP 20ML",Dobutamina,Dobutamina,1
MC: EDISTRIDE 10 ,DAPAGLIFLOZINA,Empagliflozina,0
Cefuroxima Axetil 500mg cp,AXETILCEFUROXIMA,Cefuroxima Axetil,1
NICOTINA 21MG ADESIVO,NICOTINA (TRANSDERMICO),Nicotina,1
Diclofenaco sódico 25mg/mL inj. ampola c/ 3mL,DICLOFENACO SODICO,Diclofenaco sódico,1
"DOBUTAMINA 250MG/20ML INJ + SF 0,9% 250ML",Dobutamina,Dobutamina,1
BROMOPRIDA 10MG/2ML AMP 2ML,BROMOPRIDA,Bromoprida,1
"DEXAMETASONA 0,1% CREME BISNAGA 10G",DEXAmetasona (tópico),Dexametasona,1
Biotina 10mg/mL Sol oral 30mL (Não Padrão),BIOTINA (VITAMINA B7),Biotina,1
CAPTOPRIL 25 MG COMPRIMIDO,CAPTOPRIL,Captopril,1
Cetoprofeno 50mg caps,CETOPROFENO,Cetoprofeno,1
"Acetato de Fludrocortisona 0,1mg cp",FLUDROCORTISONA,Fludrocortisona,1
MISOPROSTOL 25MCG - COMPRIMIDO VAGINAL,Misoprostol,Misoprostol,1
MICAFUNGINA 100MG,MICAFUNGINA,Micafungina,1
DIAZEPAM 10MG - COMP,DIAZEPAM,Diazepam,1
Racecadotrila 30mg Sache,RACECADOTRILA,Racecadotrila,1
FLUCONAZOL 200 MG FR 100 ML,FLUCONAZOL,Fluconazol,1
Vaselina Pomada 20g,VASELINA,Vaselina,1
MC: BACTRIM 40080MG ,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol e Trimetoprima,1
LEVEMIR FlexPen 100 UI/mL Sol inj 3mL (caneta) (Alta Vigilância),INSULINA DETEMIR,Insulina detemir,1
SACARATO OXIDO FERRICO (100MG Ferro elementar)  AMP 5ML 20 mg/mL,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO),Sacarato de óxido férrico,1
Nitrofurantoína 100mg Cp,NITROFURANTOINA,Nitrofurantoína,1
PYLORIPAC 14 BLISTER,CLARITROMICINA + AMOXICILINA + LANSOPRAZOL,"Clarithromycin, Amoxicilina, Lansoprazol",1
Combiron Gotas Fr. 30mL,GLICINATO FERRICO + CIANOCOBALAMINA (VITAMINA B12) + DEXPANTENOL (VITAMINA B5) + NICOTINAMIDA + NITRATO DE TIAMINA (VITAMINA B1) + RIBOFLAVINA (VITAMINA B2),Ferro + Ácido Fólico,0
"MOXifloxacino, CLORIDRATO DE 400MG/250ML - EV",MOXIFLOXACINO,Moxifloxacino,1
"CLONAZEPAM 2,5 MG/ML FR (RIVOTRIL)",CLONAZEPAM,Clonazepam,1
"Deltametrina 0,2mg/mL -100mL Loção",DELTAMETRINA (TOPICO),Deltametrina,1
Resolor 1mg Comp. Revestido,PRUCALOPRIDA,Prucaloprida,1
CETAMINA (dextrogira)/ESCETAMINA EV/IM AMP 10ML 50 mg/mL,CETAMINA,Cetamina,1
TIOSSULFATO DE SODIO SOLUCAO INJETAVEL 250MG/ML (25%) 10ML ,TIOSSULFATO DE SODIO,Tiossulfato de Sódio,1
"DEXAMETASONA 4MG/ML 2,5ML AMP EUROFARMA             ",DEXAMETASONA,Dexametasona,1
Cranberry 500mg Cap (Não Padrão),CRANBERRY (CRANBERRIES),Cranberry,1
Fenitoina 20mg/mL 60mL FR gotas (manipulado),FENITOINA,Fenitoína,1
MORFINA 30 MG COMPRIMIDO *NP,SULFATO DE MORFINA,Morfina,1
CARBONATO DE LÍTIO 300 MG COMP,CARBONATO DE LITIO,Carbonato de Lítio,1
METOPROLOL SUCCINATO 50 MG CMP,METOPROLOL SUCCINATO,Metoprolol,1
HIDRATACAO S.G. 5% 250ML+NACL10%+KCL10%+GLUC.CA10%+GLIC.50%,CLORETO DE POTASSIO + CLORETO DE MAGNESIO + CLORETO SODIO + GLICONATO DE SODIO + ACETATO DE SODIO,"Soro glicosado, cloreto de sódio, cloreto de potássio, gluconato de cálcio, glicerol",0
DEXTROCETAMINA 50MG/ML SOL INJ EV 2ML,DEXTROCETAMINA (ESCETAMINA),Dextrocetamina,1
VARFARINA SÓDICA 5MG CP,VARFARINA SODICA,Varfarina Sódica,1
CEFEPIMA 1G/10ML FA (MAXCEF) (INFANTIL)ENDOVENOSO,CEFEPIMA,Cefepima,1
Doxazosina 2 mg cpr,DOXAZOSINA,Doxazosina,1
IMAtinibe 400 mg cap (QT),IMATINIBE,Imatinibe,1
Omnaris 50mcg/dose Susp nasal spray (120 doses) (Não Padrão),CICLESONIDA,Ciclesonida,1
MIDAZOLAM SOLUCAO INJETAVEL 5MG/ML 3ML @,MIDAZOLAM,Midazolam,1
MEROPENEM 1G - Infantil,MEROPENEM,Meropenem,1
"AFLIBERCEPTE 40MG/ML 0,05 ML INTRAVITRIA",AFLIBERCEPTE,Aflibercepte,1
Ácido Tranexâmico 250mg Comprimido  - Ems,ACIDO TRANEXAMICO,Ácido Tranexâmico,1
SOLUCAO PURA DE PROPOFOL (10MG/ML) - MPP,PROPOFOL,Propofol,1
Vitamina do complexo B - Drageas,VITAMINAS DO COMPLEXO B,Complexo de Vitaminas B,1
Adiloz 600mg Cpr Rev,LINEZOLIDA,Ibuprofeno,0
ACEBROFILINA 50MG/5ML SOLUÇÃO ORAL,AMBROXOL (ACEBROFILINA),Acebrofilina,1
Amoxicilina 250mg/5ml Susp. Oral Frasco C/ 150ml *,AMOXICILINA,Amoxicilina,1
OLEO DE GIRASSOL 2% - 50GR - NP,OLEO DE GIRASSOL (TOPICO),Óleo de Girassol,1
UTROGESTAN (PROGESTERONA) 200MG COMP,PROGESTERONA,Progesterona,1
MEDICAMENTO NAO CADASTRADO  ,MEDICAMENTO NAO CADASTRADO,"Não é possível identificar a substância ativa, pois o medicamento não está cadastrado.",1
ANFORTERICINA B 50MG - PÓ PARA SOLUÇÃO INJETÁVEL - VIA ENDOVENOSA - FRASCO AMPOLA,ANFOTERICINA B DESOXICOLATO (NORMAL),Anfotericina B,1
SORO RINGER LACTATO C/ 500ML (SOROTERAPIA),(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO,Lactato de Ringer,1
"Isossorbida, dinitrato 10mg cp.",ISOSSORBIDA,Dinitrato de isossorbida,1
DISFOSTATO DE CLOROQUINA 150MG COMP,CLOROQUINA,Cloroquina,1
(Do paciente ) Espironolactona 100 mg cap,ESPIRONOLACTONA,Espironolactona,1
SUPOSITORIO DE GLICERINA ADULTO,GLICERINA (RETAL),Glicerina,1
"Gyno Iruxol 0,6 UI/g + 10 mg/g Pomada Ginecológica Bisnaga 30g",COLAGENASE+CLORANFENICOL (TOPICO),Colagenase + Cloranfenicol,1
DULoxetina 30mg/ml - Frasco 30ml - Manipulado,Duloxetina,Duloxetina,1
VALIUM 10MG 30 CP B1,DIAZEPAM,Diazepam,1
"Guaco herbarium 0,5mL/5mL Xpe 120mL (Não Padrão)",MIKANIA GLOMERATA,Extrato de Guaco,1
ALBUMINA HUMANA 20% 50ML IV,ALBUMINA HUMANA,Albumina Humana,1
GANciclovir 500 mg fr/amp,GANCICLOVIR,Ganciclovir,1
Lenvima 4mg Cápsula Dura,LENVATINIBE,Lenvatinibe,1
DimeniDRINATO IM 50MG+ VIT B6 50MG AMP 1ML  ,DIMENIDRINATO + PIRIDOXINA(B6),Dimenidrinato,1
TRAStuzumabe 440MG SOL. INJ,TRASTUZUMABE,Trastuzumabe,1
AMPICILINA PO PREPARACAO EXTEMPORANEA 50MG/ML 60ML,AMPICILINA,Ampicilina,1
"MitoMIcina 0,03% Frasco-ampola",MITOMICINA,Mitomicina,1
LORazepam 1mg Cap (Med. Controlado) (Não Padrão),LORAZEPAM,Lorazepam,1
Cardizem SR 90mg Cápsula de Liberação Prolongada,DILTIAZEM,Diltiazem,1
"FOSFATO TRIBASICO DE CALCIO 12,9% 100ML ",FOSFATO DE CALCIO TRIBASICO + COLECALCIFEROL,Fosfato Tribásico de Cálcio,0
TIGECICLINA 50MG/5ML PO LIOFILIZADO FR AMP,TIGECICLINA,Tigeciclina,1
CLOR.METFORMINA 500MG 30CP PRATI GEN,METFORMINA,Metformina,1
CETAMINA SOL INJ 500MG/10ML,CETAMINA,Cetamina,1
AMPICILINA CAPSULA 500 mg,AMPICILINA,Ampicilina,1
"FENTANILA 0,5 MG - AMPOLA 10ML SEM CONSERVANTE",FENTANILA,Fentanila,1
Fitoscar 60mg/g Pomada Bisn. 50g,STRYPHNODENDRON ADSTRINGENS,Centella asiatica,0
ALPROSTADIL 20 MCG/ML 1ML AMP,ALPROSTADIL (PROSTAGLANDINA E1),Alprostadil,1
CEFAZOLINA 1G FR AMP - UTIN,CeFAZolina,Cefazolina,1
MONOCORDIL 40MG CP,ISOSSORBIDA,Mononitrato de Isossorbida,1
"Candesartana Cilexetila 16mg + hidroCLOROTiazida 12,5mg Comprimido",CANDESARTANA + HIDROCLOROTIAZIDA,"Candesartana Cilexetila, Hidroclorotiazida",1
LOSARTANA 50 MG COMPRIMIDO,LOSARTANA,Losartana,1
Fosfato Dissodico de Dexametasona 2mg/ml 1ml,DEXAMETASONA,Dexametasona,1
CLORIDRATO DE PROMETAZINA COMP C/25MG,PROMETAZINA,Prometazina,1
SOLUCAO HEPARINA (50UI/mL) - 100mL  ALTA VIGILANCIA,Heparina,Heparina,1
Coltrax 4mg/2ml  amp 2 ml,TIOCOLCHICOSIDEO,Tiocolchicosídeo,1
BROMAZEPAM 3MG CP,BROMAZEPAM,Bromazepam,1
Hidantal 100mg Comprimido,FENITOINA,Fenitoína,1
AGUA BIDESTILADA AMP 10 ML,AGUA DESTILADA,Água bidestilada,1
METOPROLOL (TARTARATO) 10MG/ML 30 ML FR,METOPROLOL TARTARATO,Metoprolol,1
MPP:  TEGRETOL 200MG (CARBAMAZEPINA),CARBAMAZEPINA,Carbamazepina,1
Solução Fosfato Para Preparo Intestinal Frasco 45ml - Manipulado,FOSFATO DE SODIO,Fosfato de sódio,1
Morfina Sulfato 10mg Injetavel - Ampola Com 1ml,SULFATO DE MORFINA,Morfina,1
Albendazol 400mg comprimido,ALBENDAZOL,Albendazol,1
AnLODIPina 5mg cp,ANLODIPINO,Anlodipina,1
MEDICAMENTO DO PACIENTE,MEDICAMENTO DO PACIENTE,"Desculpe, mas você não forneceu o nome de um medicamento específico. Por favor, forneça o nome de um medicamento para que eu possa identificar a substância ativa mais provável.",0
"EXElon Patch 15cm (13,3mg/24h) Adesivo (Med. Controlado)",RIVASTIGMINA,Rivastigmina,1
EMULSAO AGAR-AGAR 50ML,AGAR-AGAR,Agar-Agar,1
BROM. DE ROCURONIO 10MG/ML SOL. INJETAVEL FA 10ML,ROCURONIO,Rocurônio,1
Norvasc 5mg Cp (Não Padrão),ANLODIPINO,Amlodipina,1
Deflazacorte 6mg Cp,DEFLAZACORTE,Deflazacorte,1
ARIPIPRAZOL COMPRIMIDO 10MG @,ARIPIPRAZOL,Aripiprazol,1
LEVOTIROXINA SODICA 50MCG/1ML SUSPENSAO,LevoTIROXina,Levotiroxina Sódica,1
"IODOPOVIDONA 2,5% COLÍRIO 5ML 25 MG/ML FR",IODOPOVIDONA (OFTALMICO),Iodopovidona,1
HIDROXIZINA CLORIDRATO 2MG/ML 120ML XAROPE,HIDROXIZINA,Hidroxizina,1
"TERLIPRESSINA  5 ML ,2 MG/ML FRA",TERLIPRESSINA,Terlipressina,1
BUDESONIDA  50MCG AEROSOL ORAL,BUDESONIDA,Budesonida,1
"FLUMAZENIL 0,1 MG/ML 5 ML (0,5 MG) - AMP",FLUMAZENIL,Flumazenil,1
Valsartan potássico 160mg cp. (NÃO PADRONIZADO),VALSARTANA,Valsartan,1
(Do paciente) Mesalazina 500 mg supositório,MESALAZINA,Mesalazina,1
Venlafaxina 150mg  Cápsula De Liberação Prolongada,VENLAFAXINA ,Venlafaxina,1
"PIPERACILINA+TAZOBACTAM 4G+0,5G SOL.INJ",PIPERACILINA + TAZOBACTAM,Piperacilina Tazobactam,1
CLORETO DE POTASSIO 10% 10ML,CLORETO DE POTASSIO,Cloreto de Potássio,1
Ferinject 50mg/ml Ampola 10ml Inj.,CARBOXIMALTOSE FERRICA,Ferricarboximaltose,1
