medicamento,substancia
BromoPRIDA 10MG CPR,BROMOPRIDA
"Aciclovir POMADA OFTALMICA 30MG/G (3%) 4,5G",Aciclovir (OFTÁLMICO)
OMEPRAZOL MAGNESIO (COMPRIMIDO SOLUVEL) 20 MG CMP,OMEPRAZOL MAGNESIO
Tamiflu 75mg Cápsula,OSELTAMIVIR
QT CIMETIDINA 300MG/2ML AMP,cimetidina
IRINOTECANO P/MG (PRESCRICAO),IRINOTECANO
DEPAKENE 500 MG - CP,VALPROATO DE SODIO
NEBILET 5MG 30 CP,NEBIVOLOL
"Sodio, Bicarbonato de 8,4% Amp 10ml",BICARBONATO DE SODIO
"Amoxicilina/Clavulanato 250+62,5mg/5mL Susp 75mL ",AMOXICILINA + CLAVULANATO POTASSIO
Ácido FolÍNico 50mg sol inj,FOLINATO DE CALCIO (ACIDO FOLINICO)
Thiotepa 100mg Frasco-ampola,TIOTEPA
"IOMERON 300 612,4 MG/ML-50 ML FR/AMP IV (IOMEPROL)",IOMEPROL
Ritonavir 100mg cp. revestido,RITONAVIR
Hidroxizina 25mg,HIDROXIZINA
SULFATO FERROSO 250MG - COMPRIMIDO,SULFATO FERROSO
LEVETIRACETAM 100MG/ML SOLUCAO ORAL FR 100ML,LEVETIRACETAM
Ambisome 50mg Frasco Ampola,ANFOTERICINA B LIPOSSOMAL
Coronar 10mg/mL Sol inj 1mL,ISOSSORBIDA
CLARITROMICINA 500MG PO LIOFILIZADO FA,CLARITROMICINA
XYLESTESIN (LIDOCAINA) 2%GEL 30G 20MG TUBO,LIDOCAINA (TOPICO)
Mestinon 60 Mg Cp.,PIRIDOSTIGMINA
Solucao Anticoagulante P/ Aferese Bolsa 500ml (Luer Lock),GLICOSE + ACIDO CITRICO + CITRATO DE SODIO.
Sulfadiazina de prata 1% creme pote 400g,SULFADIAZINA DE PRATA (TÓPICO)
PANTOprazol 20mg cpr.,PANTOPRAZOL
OTOCIRIAX GOTAS,ciprofloxacino + HIDROCORTISONA (otológico)
IPRATROPIO 20MCG/DOSE SOLUCAO AEROSOL 200 DOSES,IPRATROPIO
BISOPROLOL 1.25 MG,BISOPROLOL
SIMETICONA 40 mg,SIMETICONA
Ácido ursodesoxicólico 50 mg,acido ursodesoxicolico
Melatonina 5mg cp,MELATONINA
"NALOXONA 0,4MG/ML 1 ML -- AMPOLA",NALOXONA
RANITIDINA CLORIDRATO XAROPE 15MG/ML 120ML,RANITIDINA
"EPITEZAN POMADA OFTALMICA 3,5GR",RETINOL+AMINOACIDO+METIONINA+CLORANFENICOL (OFTÁMICO)
"SURFACTANTE PULMONAR 120 MG 1,5ML",ALFAPORACTANTO (SURFACTANTE)
"CASSIA FISTULA L. 4,71 mg/g + SENNA ALEXANDRINA MILLER 4,87 mg/g",SENNA ALEXANDRIA MILLER + CASSIA FISTULA
FauldCITA 500mg/5ml Sol inj,CITARABINA
ENEMA GLICERINADO 12% 500ML FR,GLICERINA (RETAL)
SULFAMETOXAZOL 200MG +TRIMETOPRIMA 40MG/5MLSORAL,SULFAMETOXAZOL+TRIMETOPRIMA
"HEPARINA BOLSA 1,25UI/ML 50ML",Heparina
METRONIDAZOL 100MG/G - 50G – GELÉIA VAGINAL - BISNAGA,METRONIDAZOL (TOPICO)
(Do paciente) Doxazosina 2 mg cp ,DOXAZOSINA
"GANCICLOVIR 1MG/ML (0,1%) BOLSA COM 250MG",GANCICLOVIR
GLICOSE 5%  500 ML LIVRE PVC 50 MG/ML FR,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Soro glicosado 5% frasco c/ 250mL (B. Braun),SOLUCAO DE GLICOSE (SORO GLICOSADO)
PARACETAMOL COMPRIMIDO 500MG,PARACETAMOL  (ACETAMINOFEM)
IMIpenem 500mg + cilastatina 500mg,IMIPENEM + CILASTATINA
Faslodex 250mg Seringa Preenchida 5mL,FULVESTRANTO
TENOXICAN 20MG - FR AMP,Tenoxicam
CiclosPORINA 25MG COMP. (SANDIMMUN),CiclosPORINA
N.P. - RISPERIDONA XAROPE,RISPERIDONA
ACETATO DE CIPROTERONA 2 mg + ETINILESTRADIOL 35 mg,CIPROTERONA + ETINILESTRADIOL
ADENOSINA 6 MILIGRAMAS /  2 MILILITROS (AMPOLA),ADENOSINA
Tiamina 100mg/ml inj 1ml,TIAMINA (VITAMINA B1)
Amoxicilina 250mg/5mL Susp 150mL,AMOXICILINA
Leite De Magnésio 80mg/ml 120ml Susp.,HIDROXIDO DE MAGNESIO
METADONA CLORIDRATO SOLUCAO INJETAVEL 10MG/ML 1ML @,Metadona
BENZOATO DE ALOGLIPTINA 25 mg,ALOGLIPTINA
Dantrolene 20 mg,DANTROLENO
MEDICACAO DE CASA 14,MEDICAMENTO DO PACIENTE
AZitromicina 600mg Susp oral 15mL,AZITROMICINA
CAVILON PROTETOR CUTANEO CREME,CREME PROTETOR
GLICOSE 10% SOLUCAO INJETAVEL BOLSA 250 ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
ATORVASTATINA CALCICA 10MG (COMPRIMIDO) VO,ATORVASTATINA
"Praxbind 2,5g/50mL Sol inj (Multipack)",IDARUCIZUMABE
"BECLOmetasona 100mcg + Formoterol 6mcg + Glicopirrônio 12,5mcg Sol aerossol",BECLOMETASONA + FORMOTEROL + GLICOPIRRONIO
SULFATO FERROSO 125 MG/ML GOTAS 30 ML,SULFATO FERROSO
AGUA BIDESTILADA SOLUCAO INJETAVEL FRASCO 250ML,AGUA DESTILADA
Leuprorrelina 45mg Fr/amp,LEUPRORRELINA
OXcarbazepina 300mg.,OXCARBAZEPINA
QUIMIOTERAPIA - METICORTEN 5MG,PredniSONA
Fostair 200/6mcg/dose Sol aerossol (Não Padrão),BECLOMETASONA + FORMOTEROL
SUXAMETONIO 100MG SOL INJ IM,CLORID. DE SUXAMETONIO ( SUCCINILCOLINA)
FOSFATO DE OSELTAMIVIR 30mg CAPS (DOAÇAO),OSELTAMIVIR
DOMPERIDONA 10MG 60CP EMS GEN,DOMPERIDONA
PLASMALYTE BSA 500ML,CLORETO  DE SODIO + GLICONATO DE SODIO + ACETATO DE SODIO TRI-HIDRATADO + CLORETO DE POTASSIO + CLORETO DE MAGNESIO HEXAIDRATADO
VACINA PREVENAR,VACINA PNEUMOCOCICA 13-VALENTE (CONJUGADA)
"Vitamina D3 5.000UI/0,05mL fr 20mL",COLECALCIFEROL (VITAMINA D)
MEROPENEM 1G/20ML - EV - BS -  PED,MEROPENEM
ETOMIDATO 2MG / 1ML 10ML,ETOMIDATO
"Ciprofloxacino 3,5 mg/ml Otológico frasco c/ 5 ml",CIPROFLOXACINO  
NIMESULIDA 50MG/ML SOLUCAO ORAL DOSE 19 GOTAS,Nimesulida
VITAMINA C (ACIDO ASCORBICO) SOLUCAO INJETAVEL 100MG/ML 5ML,ACIDO ASCORBICO (VITAMINA C)
FLAGYL 500MG/100ML - EV,metronidazol
QUIMIOTERAPIA - FENERGAN 50MG/2ML AMPOLA 2ML IM,PROMETAZINA
Siilif 50mg Cp rev (Não Padrão),BROMETO DE PINAVERIO
MC: ENALAPRIL,ENALAPRIL MALEATO
CLORIDRATO DE DOPAMINA 5MG/ML - 10ML(50MG) – SOLUÇÃO INJETÁVEL - VIA ENDOVENOSA - AMPOLA,DOPamina
DEXAMETASONA COMP C/4MG,DEXAMETASONA
"CLORETO DE SODIO 9MG/ML (0,9%) SOLUCAO INJETAVEL FR 250ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"TECLISTAMAB 90MG/ML - 1,7ML -  TECVAYLI - QT**",TECLISTAMABE
MIDAZOLAM 5MG/ML SOL. INJ. AMPOLA 3ML (15MG/3ML),MIDAZOLAM
AMPICILINA SODICA 1000MG+SULBACTAM SODICA 500MG PO INJETAVEL,AMPICILINA SODICA + SULBACTAM
LACTULOSE 667MG/ML SOL ORAL,LACTULOSE
ONDANSETRON 4MG/2ML - AMP,ONDANSETRONA
ETAMBUTOL 400MG COMP. (NP),ETAMBUTOL
ALBUMINA HUMANA INJETAVEL 200MG/ML (20%) 50ML,ALBUMINA HUMANA
VASELINA SOLIDA 100MG (NP),VASELINA
Otociriax Solução Otológica Frasco 5ml,ciprofloxacino + HIDROCORTISONA (otológico)
"Clorexidina sol. bucal 0,12% frasco c/ 1000mL",CLOREXIDINA
OMEPRAZOL FRASCO-AMP IV,OMEPRAZOL
CLORETO DE SODIO 20% (ALTA VIGILÂNCIA),CLORETO DE SODIO
OSELTAMIVIR 75 MG CP - TAMIFLU - SS,OSELTAMIVIR
Eritromicina Suspensão Oral 250mg/5ml Frasco 100ml,ERITROMICINA
METRONIDAZOL 500 MG/5G GEL,METRONIDAZOL (TOPICO)
"Picossulfato de sódio 7,5mg/ml - 20ml",PICOSSULFATO DE SODIO 
MORFINA 10MG/ML - SOLUÇÃO ORAL 60ML (MEDICAMENTO DE RISCO),SULFATO DE MORFINA
CLORPROMAZINA 25 MG - COMP,ClorproMAZINA
Sol. Glicose 50% bolsa 1000 mL,SOLUCAO DE GLICOSE HIPERTONICA
"CLONIDINA 0,100MG",CLONIDINA
CefaLOTina 1G - INJ,Cefalotina
"ENOXAPARINA 80MG/0,8ML",ENOXAPARINA SODICA
Hidralazina 20mg Inj. Ampola C/ 1ml *,HidrALAZINA
HIDROCLOROTIAZIDA 5MG/ML SOL ORAL,HIDROCLOROTIAZIDA
CefTRIAXona 1 g Po Liofilizado frasco-ampola,CefTRIAXona
Aciclovir 250mg FA,ACICLOVIR
"FLUDROXICORTIDA 0,125MG TOPICO",FLUDROXICORTIDA (TOPICO)
"CLORETO DE POTASSIO 10% (10 ML) 1,341 MEQ/ML AMP",CLORETO DE POTASSIO
Trastuzumabe Deruxtecana 20mg/ml Fr/amp 5ml,TRASTUZUMABE DERUXTECANA
CefTAZidima COLIRIO 5% 5ML 50 MG/ML FR,CEFTAZIDIMA
Sprycel 50mg Cp rev (Não Padrão),DASATINIBE
Racecadotrila 30mg Env.,RACECADOTRILA
"UNI DEXA (DEXAMETASONA) 10MG/2,5ML  AMP 2,5ML",DEXAMETASONA
TOBRAMICINA + DEXAmetasona 3 mg/g,TOBRAMICINA + DEXAMETASONA (OFTALMICO)
"Aciclovir 250mg, pó liofilizado,frasco ampola (IV)",ACICLOVIR
Dexametasona 4 mg cp,DEXAMETASONA
Vitrakvi 100mg Cap (Não Padrão),LAROTRECTINIBE
Cis 20mg/10mL Sol inj,CISATRACURIO
POLIVITAMINAS+SAIS MINERAIS - DRG,POLIVITAMINICO + MINERAIS
CICLOSPORINA 50MG/ML SOL. INJETAVEL AMP 5ML,CiclosPORINA
MC: ATROVENT 4 ,IPRATROPIO
MPP:  DONEPEZILA  10MG,DONEPEZILA
ACIDO SALICILICO 3% E UREIA 5% CREME - FRASCO 100 G FR,UREIA + ACIDO SALICILICO (TOPICO)
HIDROXICLOROQUINA 400mg COMP,HIDROXICLOROQUINA
IDArrubicina 10mg Frasco-ampola,IDARRUBICINA
"CAPTOPRIL 12,5MG - CP",CAPTOPRIL
MPP:  PREGABALINA 50MG,PREGABALINA
METRONIDAZOL 5 MG/ML 100 ML BOLSA EV,metronidazol
"Tacrolimo 0,25mg Cápsula",TACROLIMO
Anastrozol 1mg Cp Rev,ANASTROZOL
PROGRAF 5MG COMP - TACROLIMUS (NP),TACROLIMO
NAPRIX 5MG COMPRIMIDO,RAMIPRIL
"Tetracaina 1%+FENILEFrina 0,1% Sol Oft Fr 10mL - Anestesico",TETRACAINA + FENILEFRINA (OFTALMICO)
Buscopan 10mg Drg.,ESCOPOLAMINA (HIOSCINA)
ESCOPOLAMINA  + PARACETAMOL 10MG+500MG COMPRIMIDO,ESCOPOLAMINA +  PARACETAMOL
TEOFILINA CAPSULA LIBERACAO CONTROLADA 100MG ,TEOFILINA
CEFUROXIMA 250 MG/5 ML SOL ORAL,CEFUROXIMA
Lidocaina 2% Geleia - Tubo Com 30g,LIDOCAINA (TOPICO)
AloPURinol 100 MG COMPRIMIDO,AloPURinol
Desvenlafaxina 50mg Cp,DESVENLAFAXINA
AC ACETILSALICILICO + GLIC ALUMINIO 100MG (SOMALGIN CARDIO),ACIDO  ACETILSALICILICO + GLICINATO DE ALUMINIO +  CARBONATO DE MAGNESIO                                              
FentaNILA 50 MCG/ ML FRASCO AMPOLA 10 ML (MPP),FENTANILA
Lactulose solucao 667 mg/mL frasco 200 mL,LACTULOSE
Blancy Gel creme clareador 20g (Não Padrão),LOCAO HIDRATANTE
LEVOTIROXINA SÓDICA 50MCG - COMPRIMIDO,LevoTIROXina
"Ergometrin 0,2mg/ml Ampola 1ml",METILERGOMETRINA
"Beclometasona, dipropionato 50mcg/dose spray oral frasco c/ 10mL (200 doses)",beclometasona
"IPRATROPIO 0,250MG/ML GOTAS",IPRATROPIO
XARELTO 20MG COMP REV-RIVAROXABANA,RIVAROXABANA
"CIPROFLOXACINO CLORIDRATO SOLUCAO INJETAVEL BOLSA 2MG/ML (0,2%) 200ML HDJB",CIPROFLOXACINO  
OLEO MINERAL FRASCO 100ML,OLEO MINERAL
RETEmic Ud 10mg Comprimido Revestido,OXIBUTININA
OXACILINA 500MG/5ML PO LIOFILIZADO FRASCO AMPOLA,OXACILINA SODICA
TRIANCINOLONA+NEOM.+NIST - TB 30G (ONCILON AM). NP,TRIANCINOLONA ACETONIDA + NEOMICINA + GRAMICIDINA + NISTATINA (TOPICA)
TRANSAMIN 50MG/ML 5ML AMP,ACIDO TRANEXAMICO
Atorvastatina 40 mg cp rev,ATORVASTATINA >10MG
GLICLAZIDA COMP LIB PRO 30MG,GliCLAZida
TELMISARTANA 40 mg,TELMISARTANA
Ammonaps 500mg Comprimido,FENILBUTIRATO
NORTRIPTILINA 10 MG,Nortriptilina
GLICERINA 12% C/ SONDA ENEMA,GLICERINA (RETAL)
Reparil Gel Bisnaga 30g,DICLOFENACO DIETILAMONIO (TOPICO)
SINVASTATINA 10 mg,SINVASTATINA
OXALiplatina 50mg/10mL FA,OXALIPLATINA
DULoxetina 20mg/mL Sol oral 50mL (Med. Controlado) (Não Padrão),Duloxetina
SERETIDE 25/125MCG (NP),SALMETEROL + FLUTICASONA
Orlistate 120mg Cap (Não Padrão),ORLISTATE
BUPROPIONA 150MG COMPRIMIDO REVESTIDO - NP,BuPROPiona
LevoTIROXina 100mcg cp,LevoTIROXina
LENALIDOMIDA 10 MG CAPS,LENALIDOMIDA
Cipramil 20mg Comprimido,CITALOPRAM
TENOFOVIR + LAMIVUDINA 300MG + 300MG COMPRIMIDO,TENOFOVIR + LAMIVUDINA
"Lidocaína 2% sem vasoconstritor Sol inj 1,8mL ",LIDOCAINA CLORIDRATO
"CLEXANE 20MG 0,2ML SER (DAV)**ENDOVENOSO**",ENOXAPARINA SODICA
HEMITARTARATO DE ZOLPIDEM 10  mg,ZOLPIDEM
CODEINA 30MG,CODEINA
DOXOrrubicina lipossomal 20mg sol. Inj. - QT,DOXORRUBICINA  CLORIDRATO
METFORMINA 500MG CPR,METFORMINA
Ocitocina 40UI/mL Solução Nasal Spray Frasco 5mL - Manipulado,ocitocina
FOSFATO DE SÓDIO MONOBÁSICO/ Enema 130ML -- FRASCO,FOSFATO DE SODIO MONOBASICO MONOIDRATADO + FOSFATO DE SODIO DIBASICO HEPTAIDRATADO (RETAL)
Procorolan 5mg cp (Ivabradina),IVABRADINA
"Cloreto de sodio 0,9% 500ml","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"ALPRAZOLAM 0,5MG COMP. (FRONTAL) - NP",ALPRAZOLAM
Lenalid 25mg Cap (Não Padrão),LENALIDOMIDA
ZINCO QUELATO CAPSULA 30MG,ZINCO
"Higroton 12,5mg cp.",CLORTALIDONA
OXAcilina Sodica 500mg Fr-Amp,OXACILINA SODICA
BIPERIDENO 5MG/ML - 1ML,BIPERIDENO
Monocordil 20mg cp.,ISOSSORBIDA
VASELINA LIQUIDA 100ML ,VASELINA
RACECADOTRIL 100MG CP,RACECADOTRILA
PAZOPANIB 200MG (MEDICAMENTO DE RISCO),PAZOPANIBE
ERITROPOETINA 10.000 UI/1 ML S.C.,ALFAEPOETINA (ERITROPOETINA)
"MORFINA 0,1 MG/ML 1 ML AMPOLA EV/INTRATECAL/EPIDURAL",SULFATO DE MORFINA
CLORPROMAZINA 5MG/ML SOL. INJ. AMPOLA 5ML (25MG/5ML),ClorproMAZINA
"RINOSORO 0,9% 30ML FR","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"DESLANOSIDEO SOL INJ 0,4MG/2ML AMP",DESLANOSIDEO
SUCCINATO DE METILPREDNISOLONA 500 MG - FA,METILPREDNISOLONA
Ropi 2mg/ml Amp/20ml Inj.,ROpivacaina
ERITROPOETINA PO LIO 4000UI FA SUBCUTANEA,ALFAEPOETINA (ERITROPOETINA)
ACIDO TRANEXAMICO 50 MG/ML 5 ML (250 MG) - AMP,ACIDO TRANEXAMICO
MIDAZOLAM INFUSAO SIMPLES (1 MG/ML),MIDAZOLAM
HIDROCORTISONA 500MG/ML (SOLUCORTEF),HIDROCORTISONA SUCCINATO SODICO
BICARBONATO DE SODIO PO,BICARBONATO DE SODIO
Glicose 50% Hipertonica 10ml inj,SOLUCAO DE GLICOSE HIPERTONICA
GLICOSE 5% 50ML SIST FECHADO,SOLUCAO DE GLICOSE (SORO GLICOSADO)
SULFATO FERROSO 40MG,SULFATO FERROSO
CIPROFLOXACINO 500MG,CIPROFLOXACINO  
"Clonazepam 2,5mg/ml Gts. 20ml",CLONAZEPAM
ESPIRONOLACTONA 50MG,ESPIRONOLACTONA
Complexo B Sol inj 1mL,VITAMINAS DO COMPLEXO B
DipiRONA 500 mg comprimido,DipiRONA
CANDESARTANA CILEXETILA 8 mg,CANDESARTANA CILEXETILA
Hidroxietilamido e cloreto de sodio 130/0.4 6% Fr 500 mL,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
NITROGLICERINA 5MG/ML SOL.INJ. AMPOLA 10ML (50MG/10ML) (EV),NitroGLICERINA
"CLORETO DE SODIO 0,9% FR 500 ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
Citarabina 1000mg/10ml fr amp (QT),CITARABINA
Invanz 1g Frasco-ampola,ERTAPENEM
INTERFERON ALFA 3.000.000UI SOL.INJ,INTERFERON ALFA-2A
AMICACINA 100mg  - 50 mg/mL,AMICACINA 
Metotrexato 5000 mg / 50 ml frasco ampola (QT),METOTREXATO
XYLESTESIN 2% GELEIA 30G,LIDOCAINA CLORIDRATO
SIRDALUD 2MG CP,TIZANIDINA
IOPAMIRON  300MG - FR 50ML,IOPAMIDOL
LIDOCAINA SOL INJ 1% FA 20ML,LIDOCAINA CLORIDRATO
"MACROG/B SOD/C SOD/C POTA GRAN 13,125/0,1775/0,3507/0,0466G",MACROGOL+BICARBONATO DE SODIO+CLORETO DE POTASSIO + CLORETO DE SODIO
MIRABEGRONA COMPRIMIDO REVESTIDO DE LIBERACAO PROLONGADA 50MG,MIRABEGRONA
MYFORTIC 360MG,MICOFENOLATO DE SODIO
Medicamento do Paciente 09,MEDICAMENTO DO PACIENTE
CEFAZOLINA 1G (KEFAZOL),CeFAZolina
Manitol 20%  250mL,MANITOL
LEVODOPA 100MG + BENSERAZIDA CLORIDRATO 25MG COMPRIMIDO DISPERSIVEL ,LEVODOPA + BENSERAZIDA
"Pramipexol 0,25mg Comprimido",PRAMIPEXOL
Citrato De Potassio,CITRATO DE POTASSIO (COMPRIMIDO)
GLICOSE 5% 1000 ML 50 MG/ML BSA,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Donepezila 5mg Cp rev (Med. Controlado),DONEPEZILA
"NEOSTIGMINA SOLUCAO INJETAVEL 0,5MG/ML 1ML",NEOSTIGMINA
CICLOFOSFAMIDA 1G (1000MG) FA (MAV),ciclofosfamida
"TAZOCIN 4,5G/20ML DOSE ATAQUE EV",PIPERACILINA + TAZOBACTAM
"FLUDROXICORTIDA CREM 0,125MG/G TB 30G",FLUDROXICORTIDA (TOPICO)
"Tetracaína 1% + Fenilefrina 0,1% Colirio Anestesico Fr C/ 10ml",TETRACAINA + FENILEFRINA (OFTALMICO)
TIGECICLINA 50MG,TIGECICLINA
CLOR. DE MIDAZOLAM 2MG/ML SOL. ORAL FR 10ML,MIDAZOLAM
LevoTIROXina 50mcg cp,LevoTIROXina
ASTRO 500 MG IV FA,AZITROMICINA
Ganciclotrat 500 mg fr/amp,GANCICLOVIR
"Frontal 0,25mg Comprimido",ALPRAZOLAM
BACLOFENO 10MG COMPRIMIDO,BACLOFENO
Hidrocortisona 30g bisnaga,ACETATO DE HIDROCORTISONA (TOPICO)
MORFINA 10MG/ML AMP 1ML SC  (ALTA VIGILANCIA),SULFATO DE MORFINA
"CAPTOPRIL 12,5MG COMP",CAPTOPRIL
Haloperidol 5mg Inj. Ampola C/ 1ml ,HaloPERidol
GENCItabina 38mg/mL,GENCITABINA
"Cabergolina 0,5mg Cp.",CABERGOLINA
ROCURONIO 50MG/5ML (GELADEIRA),ROCURONIO
RPA DIPIRONA 500MG(NOVALGINA)CP,DipiRONA
"SORO FISIOLOGICO 0,9%  20ML - AMP","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"CLORETO DE SODIO 0,9% 1000ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
Oxacilina 500mg FA,OXACILINA SODICA
DORMONID 15MG/3ML AMP (GUARDIAN 2)(DAV),MIDAZOLAM
"FENTANIL (CITRATO) 0,00785 MG/ML 2ML",FENTANILA
"LANREOTIDA SOL INJ LIB PRO 120MG/0,5ML SER",LANREOTIDA
TRASTUZUMABE ENTANSINA 100MG FR - AMP,TRASTUZUMABE
"Acetato de Desmopressina Solução Nasal Frasco 2,5ml",DESMopressina
DELTAMETRINA SHAMPOO FRASCO,DELTAMETRINA (TOPICO)
"Bicarbonato de Sodio 8,4 % amp 10 mL (1 mEq/mL)",BICARBONATO DE SODIO
"NP IMUNOGLOBULINA 5G SOL INJ 0,1G/ML FR 50ML + HIALURONIDASE",IMUNOGLOBULINA + HIALURONIDASE
ZIDOVUDINA SOLUÇÃO ORAL 100ML 10 MG/ML FR,ZIDOVUDINA
Amytril 25mg Comprimido,AMITRIPTILINA
ISOSSORBIDA MONONITRATO 20MG - CAPS,ISOSSORBIDA
MEDICAMENTO NÃO PADRONIZADO,MEDICAMENTO NAO PADRONIZADO
Lyrica 75mg Cáp (Pregabalina),PREGABALINA
Parecoxibe 40mg Inj (Med. Controlado),PARECOXIBE
CLORETO DE POTASSIO 600 mg comprimido,CLORETO DE POTASSIO (COMPRIMIDO)
SINVASTATINA 10MG - CP,SINVASTATINA
GLICERINA 12 UN,GLICERINA (RETAL)
DIPIRONA 1G/2ML (UTIN),DipiRONA
Sacarato de óxido férrico EV 100mg/5mL Sol inj,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO)
PROPOFOL 10MG/ML 20ML (INFUSAO CONTINUA),PROPOFOL
"DESMopressina 0,1MG/ML SPRAY FRASCO 2,5ML",DESMopressina
Amplictil 25mg Cp. Rev.,ClorproMAZINA
DipiRONA Sódica Gotas 500mg/mL Fr. 10mL,DipiRONA
TELMISARTANA 80 mg,TELMISARTANA
LEVOMEPROMAZINA 25MG,LEVOMEPROMAZINA (METOTRIMEPRAZINA)
ACIDO ASCORBICO SOL INJ 500MG/5ML AMP,ACIDO ASCORBICO (VITAMINA C)
Femigestrol 160mg Comprimido,MEGESTROL ACETATO
metadona 10 mg/ml solucao injetavel ampola 1mL,Metadona
NIFEDIPINA RETARD COMPRIMIDO 20MG,NIFEDIPINO
QUEPSIA LP 200MG 30 CP REV LIB. PROL. C1,QUEtiapina
METOCLOPRAMIDA 10MG CP,METOCLOPRAMIDA
CITRATO DE SODIO BOLSA 4% 3000ML,CITRATO DE SODIO
RABEPRAZOL SODICO 10 mg,RABEPRAZOL
PYRIDIUM 100MG COMP REV-FENAZOPIRIDINA,FENAZOPIRIDINA
Zovirax 5 % 10 g creme,Aciclovir (tópico)
HIDROCLOROTIAZIDA 50mg + AMILORIDA 5mg COMP,AMILORIDA CLORIDRATO +HidroCLOROTiazida
Risperidona 1 Mg Cp.,RISPERIDONA
Cetorolaco Trometamina 30mg/ml Amp/1ml Inj.,CETOROLACO DE TROMETAMINA
VARFARINA 5 mg,VARFARINA SODICA
Ondansetrona 2mg/ml Amp. 4ml,ONDANSETRONA
TIOGUANINA COMP 40MG,TIOGUANINA
Prebictal 100mg Cap (Med. Controlado) (Não Padrão),PREGABALINA
NISTATINA + OXIDO DE ZINCO POM BISN.,NISTATINA + OXIDO DE ZINCO (TOPICO)
CLOR. DE LIDOCAINA 2% SOL. INJETAVEL AMP 5ML,LIDOCAINA CLORIDRATO
CIPROFLOXACINO 2MG/ML SOLUCAO INJETAVEL FR 100ML,CIPROFLOXACINO  
"Ácido valproíco 250mg/5mL 100mL, frasco (ORAL)",ACIDO VALPROICO (VALPROATO DE SODIO)
"Tobramicina 0,3% colírio frasco c/ 5mL",TOBRAMICINA (OFTALMICO)
HIDROCLOROTIAZIDA XAROPE 1MG/ML,HIDROCLOROTIAZIDA
CARVAO ATIVO ENVELOPE 5G,CARVAO ATIVADO
Rifampicina 150 mg + Isoniazida 75 mg,ISONIAZIDA + RIFAMPICINA
Citalopram 20mg Comprimido,CITALOPRAM
NITROFURANTOINA 100 MILIGRAMAS (CAPSULA) VO,NITROFURANTOINA
GLUCONATO DE CALCIO 100MG/ML (10%) SOL INJ AMP 10ML,GLUCONATO DE CALCIO
MACRODANTINA 100 MG (NP),NITROFURANTOINA
NP: FLUOXETINA 20MG,FLUOXETINA
ANLODIPINO 5 mg + OLMESARTANA 40 mg,OLMESARTANA + ANLODIPINO
QUIMIOTERAPIA - SOL. FISIOLÓGICA 1000ML,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
DipiRONA Sodica 500mg/ml 2ml Inj,DipiRONA
PREDNISOLONA 5MG 20 CP EURO GEN,PrednisoLONA
"Clonidina 0,150mg cp",CLONIDINA
Nimesulida 100mg Comprimido - Biosintética,Nimesulida
Finasterida 5mg Cp rev (Não Padrão),FINASTERIDA
CLORETO DE CALCIO 10% EV - CARDIOPED (MED RISCO),CLORETO DE CALCIO
Simeticona 40mg cp.,SIMETICONA
MISOPROSTOL COMPRIMIDO VAGINAL 200MCG @,Misoprostol
Tiamazol 5mg Cp,METIMAZOL (tiamazol)
AMINOFILINA 24MG/ML - 10ML AMP,AmiNOFILina
FENITOÍNA 100MG - COMPRIMIDO,FENITOINA
Lamivudina 300mg+ Tenofovir 300mg,TENOFOVIR + LAMIVUDINA
MC: GLIFAGE (1 ,METFORMINA
CLORPROMAZINA 40MG/ML SOLUÇÃO ORAL - FR 20ML,ClorproMAZINA
AZUL DE METILENO 2% 5ML AMP,AZUL DE METILENO (CLORETO DE METILTIONINIO)
CLORPROMAZINA 25MG (5MG/ML) AMP 5ML,ClorproMAZINA
Solução Sulfato de Magnésio 10% Ampola 10ml,SULFATO DE MAGNESIO
DORMONID 50 mg/10 ml amp 10 ml,MIDAZOLAM
"Fosfato de Sódio Dibásico 0,06g/ml + Fosfato de Sódio Monobásico 0,16g/ml Enema Frasco ",FOSFATO DE SODIO MONOBASICO MONOIDRATADO + FOSFATO DE SODIO DIBASICO HEPTAIDRATADO (RETAL)
OXAL. ESCITALOPRAM 10MG 60CP EMS GEN C1,ESCitalopram
HIDROXIDO DE ALUMINIO 62MG/ML SUSPENSAO ORAL FR 240ML,HIDROXIDO DE ALUMINIO
DEXAMETASONA CREME 1MG/G (1%) - TUBO C/10G,DEXAmetasona (tópico)
"SOL DE REPOSICAO DE CALCIO 0,46 MEQ/ML (3,38%) 250mL",CLORETO DE CALCIO
Stivarga 40mg Cp rev (Não Padrão),REGORAFENIBE
